,Age,Gender,Highest Education Level,Preferred Subjects in Highschool/College,Participation in Extracurricular Activities,Previous Work Experience (If Any),Preferred Work Environment,Risk-Taking Ability ,Leadership Experience,Networking & Social Skills,Tech-Savviness,Financial Stability - self/family (1 is low income and 10 is high income),Motivation for Career Choice ,Number of Siblings,What would you like to become when you grow up,CGPA
114,20,Male,Under Graduate,Commerce,Sports,No Experience,Freelance,10.0,No Experience,No Experience,Good Coding knowledge,5,Money,1,Government Officer,7.6
115,22,Male,Post Graduate,Mixed,Culturals,Part Time,Corporate Job,10.0,Event Management,Attended Conferences,Can efficiently work with AI tools,2,Money,1,Government Officer,7.9
116,20,Male,Under Graduate,Commerce,Not Participated,No Experience,Corporate Job,7.0,No Experience,Attended Corporate events,Good Coding knowledge,3,Money,0,Corporate Employee,8.6
117,21,Male,Under Graduate,Science,Sports,Part Time,Freelance,10.0,No Experience,Attended Corporate events,Can efficiently work with AI tools,8,Freedom,0,Entrepreneur,8.0
118,20,Male,Under Graduate,Commerce,Culturals,Internship,Startup,10.0,Student Council Member,Attended Buisness meets,Comfortable using newly launched technologies,10,Money,0,Entrepreneur,8.56
119,20,Male,Under Graduate,Science,Sports,No Experience,Corporate Job,7.0,Student Council Member,Attended Conferences,Good Coding knowledge,7,Money,1,Corporate Employee,7.6
120,21,Male,Under Graduate,Commerce,Sports,Internship,Startup,10.0,No Experience,Attended Corporate events,Can efficiently work with AI tools,10,Social Impact,1,Corporate Employee,7.2
121,21,Female,Under Graduate,Commerce,Culturals,Internship,Startup,10.0,Event Management,No Experience,Good Coding knowledge,5,Money,1,Corporate Employee,9.4
122,22,Male,Post Graduate,Science,Sports,No Experience,Corporate Job,10.0,Event Management,Attended Corporate events,Can efficiently work with AI tools,2,Money,1,Corporate Employee,8.0
123,21,Female,Under Graduate,Commerce,Sports,Internship,Corporate Job,9.0,Event Management,Attended Buisness meets,Comfortable using newly launched technologies,4,Work-life Balance,1,Corporate Employee,7.86
124,24,Female,Post Graduate,Science,Sports,Internship,Corporate Job,8.0,No Experience,No Experience,Can efficiently work with AI tools,8,Money,2,Government Officer,7.6
125,20,Male,Under Graduate,Commerce,Sports,Internship,Startup,10.0,Event Management,Attended Corporate events,Comfortable using newly launched technologies,5,Money,1,Entrepreneur,8.6
126,21,Male,Under Graduate,Science,Not Participated,Internship,Corporate Job,8.0,No Experience,Attended Conferences,Can efficiently work with AI tools,6,Money,2,Corporate Employee,6.4
127,20,Male,High School,Science,Sports,No Experience,Corporate Job,10.0,No Experience,Attended Corporate events,Good Coding knowledge,10,Money,4,,8.0
128,20,Female,Under Graduate,Commerce,Sports,Internship,Freelance,10.0,Event Management,Attended Corporate events,Comfortable using newly launched technologies,5,Money,1,Government Officer,8.6
129,23,Male,Post Graduate,Science,Not Participated,No Experience,Corporate Job,7.0,Event Management,Attended Conferences,Comfortable using newly launched technologies,5,Money,2,Corporate Employee,6.0
130,21,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,6.0,Event Management,Attended Corporate events,Can efficiently work with AI tools,10,Social Impact,1,Corporate Employee,8.56
131,20,Male,High School,Commerce,Sports,Internship,Corporate Job,10.0,No Experience,Attended Conferences,Comfortable using newly launched technologies,3,Money,1,Corporate Employee,7.5
132,22,Female,Post Graduate,Commerce,Culturals,No Experience,Corporate Job,9.0,No Experience,No Experience,Comfortable using newly launched technologies,5,Passion,1,Corporate Employee,8.39
133,23,Female,Post Graduate,Science,Culturals,No Experience,Corporate Job,9.0,Student Council Member,No Experience,Comfortable using newly launched technologies,4,Passion,1,Corporate Employee,9.07
134,19,Male,Under Graduate,Science,Sports,Internship,Startup,8.0,Event Management,No Experience,Comfortable using newly launched technologies,5,Money,1,Corporate Employee,7.5
135,20,Female,Under Graduate,Commerce,Culturals,Part Time,Startup,10.0,No Experience,Attended Corporate events,Comfortable using newly launched technologies,4,Money,1,Government Officer,7.89
136,2,Female,Under Graduate,Science,Sports,Internship,Corporate Job,6.0,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,8,Money,1,Corporate Employee,7.0
137,20,Male,Under Graduate,Science,Culturals,Internship,Corporate Job,10.0,Event Management,Attended Buisness meets,Can efficiently work with AI tools,7,Passion,1,Corporate Employee,8.6
138,21,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,6.0,No Experience,Attended Corporate events,Good Coding knowledge,2,Passion,1,Corporate Employee,8.8
139,21,Female,Under Graduate,Commerce,Not Participated,No Experience,Corporate Job,9.0,No Experience,No Experience,Can efficiently work with AI tools,5,Passion,1,Corporate Employee,9.48
140,20,Male,Post Graduate,Science,Sports,Internship,Corporate Job,10.0,Event Management,No Experience,Comfortable using newly launched technologies,5,Money,1,Corporate Employee,7.5
141,20,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,10.0,Event Management,No Experience,Can efficiently work with AI tools,4,Passion,1,Corporate Employee,9.42
142,21,Male,Post Graduate,Science,Sports,No Experience,Corporate Job,7.0,Event Management,No Experience,Good Coding knowledge,5,Money,1,Entrepreneur,7.6
143,20,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,8.0,No Experience,No Experience,Can efficiently work with AI tools,1,Work-life Balance,1,Corporate Employee,9.3
144,20,Female,Under Graduate,Science,Not Participated,No Experience,Corporate Job,8.0,No Experience,No Experience,Comfortable using newly launched technologies,1,Work-life Balance,1,Entrepreneur,9.0
145,21,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,9.0,Event Management,No Experience,Comfortable using newly launched technologies,6,Money,1,Entrepreneur,8.4
146,24,Female,Post Graduate,Science,Sports,No Experience,Corporate Job,9.0,Student Council Member,No Experience,Can efficiently work with AI tools,5,Passion,0,Government Officer,6.32
147,25,Male,Post Graduate,Science,Sports,No Experience,Corporate Job,8.0,Student Council Member,Attended Conferences,Can efficiently work with AI tools,7,Work-life Balance,1,Government Officer,8.14
148,21,Female,Under Graduate,Science,Sports,Internship,Corporate Job,8.0,Event Management,No Experience,Can efficiently work with AI tools,7,Passion,1,Corporate Employee,7.78
149,21,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,8.0,Event Management,No Experience,Comfortable using newly launched technologies,6,Money,0,Corporate Employee,9.1
150,22,Female,Post Graduate,Commerce,Culturals,No Experience,Corporate Job,9.0,Event Management,No Experience,Can efficiently work with AI tools,5,Passion,1,Government Officer,8.53
151,20,Male,Under Graduate,Commerce,Sports,No Experience,Corporate Job,8.0,Event Management,No Experience,Good Coding knowledge,5,Money,1,Entrepreneur,7.5
152,20,Male,Under Graduate,Science,Sports,Internship,Corporate Job,7.0,No Experience,No Experience,Can efficiently work with AI tools,6,Money,2,Government Officer,7.39
153,22,Male,Under Graduate,Commerce,Sports,Internship,Corporate Job,8.0,No Experience,No Experience,Can efficiently work with AI tools,6,Money,1,Government Officer,7.81
154,21,Female,Under Graduate,Commerce,Culturals,No Experience,Corporate Job,10.0,Student Council Member,Attended Conferences,Good Coding knowledge,5,Passion,0,Research/Scientist,9.4
